N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,600",700,+1.00%,100,"4,214,666","5,969,783",51.17,"10,038,131",14.87,9.99,
2,SK하이닉스,"106,500","1,000",-0.93%,"5,000","775,323","728,002",47.56,"1,779,784",13.32,9.53,
3,NAVER,"409,000","2,000",+0.49%,100,"671,837","164,263",56.74,"411,173",4.07,15.22,
4,카카오,"127,000","1,500",+1.20%,100,"566,037","445,698",30.54,"2,091,033",118.36,2.70,
5,삼성바이오로직스,"833,000","14,000",+1.71%,"2,500","551,154","66,165",10.59,"46,317",164.62,N/A,
6,LG화학,"774,000","17,000",+2.25%,"5,000","546,385","70,592",47.33,"194,456",20.85,2.93,
7,삼성전자우,"65,500",600,+0.92%,100,"538,991","822,887",74.41,"648,389",13.79,N/A,
8,삼성SDI,"751,000","2,000",-0.27%,"5,000","516,422","68,765",45.58,"180,861",55.64,4.54,
9,현대차,"208,000","3,000",+1.46%,"5,000","444,430","213,668",28.86,"413,881",15.07,2.04,
10,기아,"86,800","2,900",+3.46%,"5,000","351,855","405,363",35.49,"1,438,377",10.13,5.05,
11,카카오뱅크,"62,100","3,000",+5.08%,"5,000","295,037","475,100",4.94,"2,885,869",200.97,5.08,
12,셀트리온,"213,500","1,000",+0.47%,"1,000","294,491","137,935",20.66,"1,552,095",50.06,16.68,
13,크래프톤,"547,000","7,000",+1.30%,100,"267,792","48,957",6.67,"1,342,819",47.09,61.86,
14,POSCO,"285,000","10,500",+3.83%,"5,000","248,482","87,187",53.40,"499,219",6.44,3.61,
15,KB금융,"56,400",500,+0.89%,"5,000","234,516","415,808",68.96,"686,018",5.56,8.53,
16,현대모비스,"243,000","1,500",+0.62%,"5,000","230,347","94,793",34.63,"161,345",10.43,4.66,
17,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
18,삼성물산,"112,500","1,500",+1.35%,100,"210,248","186,887",14.98,"393,809",12.83,3.81,
19,SK이노베이션,"226,500","4,000",+1.80%,"5,000","209,434","92,466",24.78,"315,319",-46.92,-13.58,
20,카카오페이,"157,500","12,000",+8.25%,500,"205,328","130,367",45.17,"696,563",-783.58,-17.97,
21,LG전자,"122,000","4,500",+3.83%,"5,000","199,650","163,648",29.93,"731,197",14.76,13.23,
22,신한지주,"37,550",300,+0.81%,"5,000","193,983","516,600",60.41,"704,744",4.86,8.20,
23,LG생활건강,"1,215,000","24,000",+2.02%,"5,000","189,761","15,618",44.35,"35,141",25.51,17.92,
24,SK바이오사이언스,"237,000","14,000",+6.28%,500,"181,305","76,500",5.66,"719,385",115.44,13.25,
25,SK,"247,000","14,000",+6.01%,200,"173,790","70,360",19.19,"400,352",15.94,1.11,
26,엔씨소프트,"715,000","71,000",-9.03%,500,"156,971","21,954",44.52,"1,394,651",38.38,20.83,
27,하이브,"396,500","7,500",+1.93%,500,"154,836","39,051",16.48,"310,558",141.05,12.52,
28,한국전력,"23,150",350,+1.54%,"5,000","148,615","641,964",14.81,"1,284,862",12.47,2.91,
29,LG,"90,000",800,+0.90%,"5,000","141,571","157,301",33.83,"152,792",5.64,7.50,
30,두산중공업,"26,200",400,+1.55%,"5,000","135,901","518,707",8.13,"12,539,952",-62.23,-37.20,
31,삼성생명,"66,500",600,+0.91%,500,"133,000","200,000",12.41,"252,112",7.59,3.53,
32,하나금융지주,"43,550",350,+0.81%,"5,000","130,755","300,242",67.85,"679,731",4.30,8.96,
33,SK아이이테크놀로지,"176,000","15,000",+9.32%,"1,000","125,484","71,298",9.14,"1,476,984",115.71,11.00,
34,삼성전기,"164,500","5,500",+3.46%,"5,000","122,871","74,694",30.67,"647,942",14.34,10.92,
35,삼성에스디에스,"154,500","1,500",+0.98%,500,"119,549","77,378",11.41,"86,152",18.55,6.71,
36,KT&G,"85,000",100,-0.12%,"5,000","116,699","137,292",36.85,"378,420",10.54,13.22,
37,넷마블,"132,500","2,500",-1.85%,100,"113,888","85,954",23.28,"671,623",39.80,6.35,
38,HMM,"27,300",150,-0.55%,"5,000","110,672","405,392",11.22,"12,822,285",17.29,8.93,
39,포스코케미칼,"142,500","2,500",+1.79%,500,"110,385","77,463",7.22,"293,449",102.96,2.96,
40,S-Oil,"96,700",900,+0.94%,"2,500","108,868","112,583",78.30,"130,353",12.43,-13.07,
41,아모레퍼시픽,"185,000","2,000",+1.09%,500,"108,212","58,493",31.84,"125,931",85.85,0.78,
42,삼성화재,"225,500","4,500",+2.04%,500,"106,830","47,375",48.85,"72,589",10.68,4.96,
43,대한항공,"30,550",0,0.00%,"5,000","106,259","347,821",11.74,"1,066,778",15.94,-7.22,
44,현대중공업,"112,000",0,0.00%,"5,000","99,426","88,773",1.64,"167,849",-10.12,-7.86,
45,우리금융지주,"13,150",50,+0.38%,"5,000","95,740","728,061",29.35,"1,829,143",4.60,5.87,
46,고려아연,"505,000","18,000",+3.70%,"5,000","95,294","18,870",18.55,"64,806",13.18,8.37,
47,기업은행,"11,100",100,+0.91%,"5,000","82,617","744,301",13.08,"758,991",4.66,6.44,
48,KT,"31,550",850,+2.77%,"5,000","82,381","261,112",43.92,"978,888",9.01,4.76,
49,SK바이오팜,"99,700",200,-0.20%,500,"78,078","78,313",5.99,"211,807",-131.88,-135.18,
50,한온시스템,"14,050",100,-0.71%,100,"74,999","533,800",17.88,"527,659",25.78,5.09,
51,롯데케미칼,"216,000","4,000",+1.89%,"5,000","74,035","34,275",25.72,"126,337",6.19,1.22,
52,LG디스플레이,"20,150",100,-0.49%,"5,000","72,100","357,816",15.69,"1,247,706",6.06,-0.79,
53,한국조선해양,"101,500","2,500",+2.53%,"5,000","71,835","70,773",19.30,"179,436",-4.63,-7.42,
54,F&F,"922,000","15,000",-1.60%,500,"70,638","7,661",13.26,"49,156",N/A,N/A,
55,한화솔루션,"36,700","1,200",+3.38%,"5,000","70,199","191,278",18.96,"850,155",9.10,5.30,
56,SKC,"176,500","1,000",-0.56%,"5,000","66,838","37,868",15.26,"271,718",153.48,2.21,
57,LG유플러스,"14,300",200,+1.42%,"5,000","62,435","436,611",34.15,"908,842",10.78,6.46,
58,현대글로비스,"157,000","3,500",+2.28%,500,"58,875","37,500",33.38,"85,705",8.73,12.45,
59,미래에셋증권,"9,210",450,+5.14%,"5,000","58,513","635,316",12.99,"2,779,789",6.99,8.94,
60,코웨이,"78,800",700,-0.88%,500,"58,154","73,800",59.83,"125,158",13.65,31.51,
61,LG이노텍,"242,000","11,500",+4.99%,"5,000","57,274","23,667",26.91,"459,681",10.48,10.20,
62,강원랜드,"26,600",350,+1.33%,500,"56,908","213,940",18.97,"611,851",-60.45,-7.92,
63,맥쿼리인프라,"13,850",100,+0.73%,0,"56,071","404,846",13.99,"636,663",N/A,N/A,
64,현대건설,"50,200","1,200",+2.45%,"5,000","55,901","111,356",21.46,"252,144",45.31,1.84,
65,현대제철,"41,600","1,650",+4.13%,"5,000","55,513","133,446",20.88,"866,439",22.98,-2.59,
66,CJ제일제당,"368,500","2,500",+0.68%,"5,000","55,475","15,054",23.23,"34,091",12.84,13.50,
67,KODEX 200,"39,035",410,+1.06%,0,"52,463","134,400",2.33,"2,153,760",N/A,N/A,
68,한국타이어앤테크놀로지,"41,750","1,050",+2.58%,500,"51,718","123,875",41.70,"140,868",8.38,5.12,
69,금호석유,"168,500","3,000",+1.81%,"5,000","51,338","30,468",19.58,"165,066",3.99,20.18,
70,에스디바이오센서,"49,650","5,250",+11.82%,500,"51,274","103,271",3.60,"4,349,338",7.53,139.97,
71,일진머티리얼즈,"109,000","1,500",+1.40%,500,"50,261","46,111",11.62,"523,765",105.62,7.23,
72,한국금융지주,"87,600","2,400",+2.82%,"5,000","48,816","55,726",35.03,"172,666",4.16,16.27,
73,현대중공업지주,"60,900","1,000",+1.67%,"1,000","48,107","78,993",17.05,"120,187",-14.06,-8.12,
74,메리츠금융지주,"34,050",250,-0.73%,500,"45,631","134,011",8.36,"85,566",7.38,16.06,
75,이마트,"162,500","4,000",+2.52%,"5,000","45,298","27,876",33.69,"118,789",8.02,4.05,
76,삼성엔지니어링,"22,950",550,+2.46%,"5,000","44,982","196,000",32.81,"1,131,071",14.25,17.32,
77,두산밥캣,"43,950",900,+2.09%,500,"44,060","100,249",25.67,"248,557",11.56,6.15,
78,오리온,"110,000",500,-0.45%,500,"43,490","39,536",38.60,"87,715",18.04,15.50,
79,삼성증권,"48,050",800,+1.69%,"5,000","42,909","89,300",29.95,"185,719",4.69,9.89,
80,유한양행,"59,100",0,0.00%,"1,000","41,354","69,973",17.92,"134,918",42.98,11.06,
81,DB손해보험,"57,500","1,700",+3.05%,500,"40,710","70,800",42.75,"158,047",5.90,9.08,
82,한국가스공사,"43,200",700,+1.65%,"5,000","39,879","92,313",10.34,"322,436",15.82,-2.24,
83,아모레G,"48,250",550,+1.15%,500,"39,786","82,458",16.20,"60,889",30.73,0.31,
84,쌍용C&E,"7,890",20,+0.25%,100,"39,755","503,860",3.21,"487,768",25.45,7.92,
85,삼성카드,"34,200",400,+1.18%,"5,000","39,624","115,859",7.74,"95,802",8.65,5.69,
86,GS,"42,550",700,+1.67%,"5,000","39,535","92,915",19.22,"81,271",4.84,-2.82,
87,한진칼,"58,300","1,000",+1.75%,"2,500","38,909","66,739",14.68,"42,512",-39.80,-19.55,
88,NH투자증권,"13,050",150,+1.16%,"5,000","38,763","297,034",17.53,"381,565",4.65,10.32,
89,한전기술,"100,500","6,900",+7.37%,200,"38,411","38,220",3.47,"2,338,463",185.77,N/A,
90,한미사이언스,"55,800","1,200",+2.20%,500,"37,556","67,305",1.55,"55,961",122.91,3.47,
91,한솔케미칼,"329,000","3,500",-1.05%,"5,000","37,293","11,335",42.67,"76,285",26.19,24.50,
92,현대차2우B,"100,500","1,500",+1.52%,"5,000","36,668","36,485",61.24,"77,563",7.28,N/A,
93,삼성중공업,"5,800",90,+1.58%,"1,000","36,540","630,000",12.81,"3,171,001",-2.54,-33.06,
94,메리츠화재,"29,200",300,+1.04%,500,"35,222","120,625",10.36,"243,576",6.66,16.91,
95,GS건설,"41,100","1,250",+3.14%,"5,000","35,174","85,581",25.91,"441,944",10.84,7.68,
96,롯데지주,"33,050",550,+1.69%,200,"34,672","104,909",8.03,"71,645",47.21,-3.03,
97,동서,"34,400",350,+1.03%,500,"34,297","99,700",3.20,"90,694",31.73,8.61,
98,두산퓨얼셀,"52,100",500,+0.97%,100,"34,122","65,494",15.26,"687,747",868.33,4.18,
99,GS리테일,"32,400",100,+0.31%,"1,000","33,929","104,718",9.44,"225,348",17.78,7.50,
100,한미약품,"268,500","2,500",+0.94%,"2,500","32,430","12,078",13.35,"23,069",140.43,1.65,
101,호텔신라,"81,300",200,+0.25%,"5,000","31,909","39,248",13.17,"248,363",-24.73,-36.74,
102,CJ대한통운,"139,000","1,500",+1.09%,"5,000","31,709","22,812",22.44,"21,836",91.09,3.89,
103,메리츠증권,"4,625",45,+0.98%,"1,000","31,530","681,731",13.96,"607,091",4.93,13.08,
104,에스원,"82,600",400,+0.49%,500,"31,387","37,999",53.60,"28,541",21.42,10.48,
105,현대오토에버,"114,000","1,500",+1.33%,500,"31,263","27,424",1.96,"41,914",41.13,11.09,
106,팬오션,"5,680",130,+2.34%,"1,000","30,364","534,570",11.26,"4,723,749",17.42,3.25,
107,현대미포조선,"75,900","3,200",+4.40%,"5,000","30,316","39,942",10.75,"416,111",-16.68,-0.84,
108,솔루스첨단소재,"98,800","3,000",+3.13%,100,"30,223","30,590",8.50,"902,795",-257.29,-5.10,
109,한화시스템,"15,650",650,+4.33%,"5,000","29,566","188,919",2.47,"758,117",16.97,9.35,
110,만도,"62,700","1,100",+1.79%,"1,000","29,442","46,957",22.52,"238,016",12.42,0.37,
111,효성첨단소재,"654,000","32,000",+5.14%,"5,000","29,299","4,480",11.71,"129,513",19.93,0.03,
112,롯데쇼핑,"103,000","2,000",+1.98%,"5,000","29,137","28,289",10.64,"53,466",-5.03,-7.70,
113,한화생명,"3,330",50,+1.52%,"5,000","28,922","868,530",7.98,"1,293,838",5.28,1.90,
114,한국항공우주,"29,650",650,+2.24%,"5,000","28,901","97,475",12.19,"257,654",146.78,6.39,
115,OCI,"120,500","5,000",+4.33%,"5,000","28,738","23,849",20.10,"429,563",99.26,-9.89,
116,키움증권,"109,500","3,000",+2.82%,"5,000","28,710","26,220",25.54,"48,093",2.94,27.63,
117,BGF리테일,"164,500","2,000",+1.23%,"1,000","28,432","17,284",32.72,"14,770",20.26,18.60,
118,KCC,"319,500","11,000",+3.57%,"5,000","28,392","8,886",13.32,"68,114",3.33,12.79,
119,LG화학우,"368,500","14,500",+4.10%,"5,000","28,333","7,689",70.41,"12,330",9.93,N/A,
120,녹십자,"240,000","5,000",+2.13%,"5,000","28,048","11,687",21.50,"64,332",30.01,7.48,
121,BNK금융지주,"8,570",150,+1.78%,"5,000","27,933","325,935",39.13,"1,166,736",4.13,6.11,
122,대우조선해양,"26,000","2,000",+8.33%,"5,000","27,896","107,291",5.60,"1,008,257",-1.92,2.27,
123,CJ,"94,100","1,100",+1.18%,"5,000","27,456","29,177",17.73,"58,639",64.32,1.89,
124,제일기획,"23,400",500,+2.18%,200,"26,920","115,041",33.26,"226,352",14.40,16.11,
125,DB하이텍,"60,500","1,100",+1.85%,"5,000","26,861","44,399",17.37,"639,475",16.08,23.07,
126,씨에스윈드,"63,300","1,600",+2.59%,500,"26,694","42,171",11.35,"201,420",44.89,8.19,
127,SK케미칼,"151,000","4,000",+2.72%,"5,000","26,607","17,621",15.53,"203,742",28.66,30.49,
128,대우건설,"6,090",160,+2.70%,"5,000","25,311","415,623",11.06,"1,657,845",5.55,11.06,
129,포스코인터내셔널,"20,500",550,+2.76%,"5,000","25,292","123,375",7.22,"743,844",8.58,7.69,
130,DL이앤씨,"129,000","2,000",+1.57%,"5,000","24,973","19,359",26.19,"85,576",N/A,N/A,
131,신풍제약,"46,850","1,650",+3.65%,500,"24,823","52,985",8.53,"2,108,996",780.83,1.72,
132,일진하이솔루스,"68,300","1,300",+1.94%,500,"24,802","36,313",4.21,"82,461",127.43,34.27,
133,TIGER 차이나전기차SOLACTIVE,"20,280",150,+0.75%,0,"24,742","122,000",0.27,"5,735,582",N/A,N/A,
134,더존비즈온,"80,900","1,000",+1.25%,500,"24,580","30,383",40.20,"61,931",39.42,15.09,
135,효성티앤씨,"562,000","28,000",+5.24%,"5,000","24,322","4,328",22.62,"62,236",4.81,25.10,
136,한화,"31,950",350,+1.11%,"5,000","23,949","74,959",17.15,"197,077",6.14,4.79,
137,현대차우,"98,300",600,+0.61%,"5,000","23,943","24,357",58.85,"44,047",7.12,N/A,
138,신세계,"243,000","3,500",+1.46%,"5,000","23,924","9,845",24.82,"112,165",29.66,-2.81,
139,하이트진로,"33,950",500,+1.49%,"5,000","23,810","70,134",4.48,"253,183",33.98,8.23,
140,휠라홀딩스,"38,550","1,900",+5.18%,"1,000","23,420","60,752",48.00,"760,974",9.72,10.94,
141,현대로템,"21,300",250,+1.19%,"5,000","23,247","109,142",3.94,"532,174",68.49,2.84,
142,후성,"24,900","3,200",+14.75%,500,"23,059","92,607",6.20,"19,935,747",230.56,2.79,
143,두산,"138,500","7,000",+5.32%,"5,000","22,886","16,524",10.53,"102,755",-226.68,-34.34,
144,현대해상,"25,500",600,+2.41%,500,"22,797","89,400",26.96,"435,444",5.90,7.13,
145,코오롱인더,"80,600","1,500",+1.90%,"5,000","22,180","27,519",21.53,"336,801",16.14,9.70,
146,현대위아,"78,900","1,600",+2.07%,"5,000","21,457","27,195",6.49,"149,561",21.11,1.96,
147,KODEX 200선물인버스2X,"2,270",50,-2.16%,0,"21,177","932,900",6.32,"168,517,645",N/A,N/A,
148,TIGER 200,"39,050",400,+1.03%,0,"21,146","54,150",0.00,"1,683,141",N/A,N/A,
149,롯데정밀화학,"80,900","1,500",+1.89%,"5,000","20,872","25,800",21.37,"215,490",8.51,12.65,
150,효성,"99,000","2,500",+2.59%,"5,000","20,860","21,071",8.98,"56,243",13.51,-2.26,
151,한화에어로스페이스,"41,050",600,+1.48%,"5,000","20,784","50,630",17.92,"322,127",7.94,4.78,
152,한샘,"85,900","2,400",+2.87%,"1,000","20,216","23,534",19.17,"90,864",24.31,10.83,
153,KODEX 단기채권,"102,975",0,0.00%,0,"20,153","19,571",0.00,"6,422",N/A,N/A,
154,한전KPS,"44,400","1,650",+3.86%,200,"19,980","45,000",7.14,"439,010",20.45,8.23,
155,영원무역,"44,500","2,200",+5.20%,500,"19,719","44,311",27.51,"221,521",10.53,8.03,
156,현대엘리베이,"46,900",850,+1.85%,"5,000","19,142","40,815",27.37,"88,081",19.86,9.78,
157,LS,"58,500",600,+1.04%,"5,000","18,837","32,200",14.62,"68,679",7.59,3.94,
158,대웅,"32,000","1,550",+5.09%,500,"18,605","58,142",4.05,"91,606",19.79,15.10,
159,현대백화점,"79,300",500,+0.63%,"5,000","18,558","23,402",18.90,"82,199",14.33,1.65,
160,NHN,"94,500","1,100",+1.18%,500,"18,489","19,565",14.37,"446,520",84.38,1.35,
161,LS ELECTRIC,"60,200",900,+1.52%,"5,000","18,060","30,000",18.26,"42,966",19.69,6.15,
162,KODEX 레버리지,"23,130",485,+2.14%,0,"17,995","77,800",2.21,"17,611,769",N/A,N/A,
163,오뚜기,"467,000","1,500",+0.32%,"5,000","17,148","3,672",12.46,"2,216",19.53,7.93,
164,농심,"280,500",0,0.00%,"5,000","17,062","6,083",12.62,"15,278",15.40,7.50,
165,JB금융지주,"8,500",230,+2.78%,"5,000","16,744","196,983",40.87,"446,659",3.69,10.06,
166,DGB금융지주,"9,800",120,+1.24%,"5,000","16,576","169,146",49.67,"308,158",3.89,6.93,
167,동국제강,"17,100","1,200",+7.55%,"5,000","16,319","95,433",23.34,"1,309,194",5.56,3.35,
168,한국앤컴퍼니,"17,100",250,+1.48%,500,"16,234","94,935",9.98,"53,039",6.55,5.08,
169,KODEX 삼성그룹,"9,750",110,+1.14%,0,"16,234","166,500",0.34,"95,087",N/A,N/A,
170,대웅제약,"140,000","8,000",+6.06%,"2,500","16,221","11,587",6.94,"46,455",546.88,2.38,
171,F&F홀딩스,"41,150",450,-1.08%,500,"16,096","39,114",0.58,"193,156",0.30,16.59,
172,아시아나항공,"21,600",150,-0.69%,"5,000","16,073","74,412",7.68,"407,210",-23.48,-43.83,
173,TIGER 단기통안채,"100,410",0,0.00%,0,"16,029","15,964",0.76,"1,275",N/A,N/A,
174,한미반도체,"32,200","1,100",+3.54%,200,"15,926","49,460",5.82,"284,271",21.47,21.03,
175,TIGER 미국나스닥100,"84,905",80,+0.09%,0,"15,792","18,600",0.01,"145,634",N/A,N/A,
176,HDC현대산업개발,"23,850",700,+3.02%,"5,000","15,719","65,907",11.22,"446,316",8.51,8.85,
177,대한전선,"1,820",85,-4.46%,500,"15,588","856,473",1.95,"24,791,518",-95.79,0.92,
178,KODEX MSCI Korea TR,"12,490",160,+1.30%,0,"15,350","122,900",0.08,"330,931",N/A,N/A,
179,에스엘,"31,800","1,150",+3.75%,500,"15,329","48,203",16.92,"95,259",10.06,4.74,
180,KODEX 종합채권(AA-이상)액티브,"107,640",0,0.00%,0,"15,144","14,069",0.00,"7,038",N/A,N/A,
181,KODEX 단기채권PLUS,"103,280",0,0.00%,0,"15,089","14,610",0.00,"7,688",N/A,N/A,
182,금호타이어,"5,250",30,+0.57%,"5,000","15,081","287,260",3.98,"324,248",70.95,-6.74,
183,동원시스템즈,"51,400","3,000",+6.20%,"5,000","15,003","29,188",13.58,"75,394",24.43,10.97,
184,명신산업,"28,450",600,+2.15%,500,"14,928","52,470",2.82,"249,459",-12.34,-67.39,
185,한일시멘트,"21,000",400,+1.94%,500,"14,545","69,262",2.44,"934,557",12.08,N/A,
186,아이에스동서,"46,800","2,600",+5.88%,500,"14,458","30,893",4.34,"97,162",13.34,10.92,
187,롯데렌탈,"39,100","1,250",+3.30%,"5,000","14,324","36,634",1.28,"124,569",15.28,6.73,
188,지누스,"86,700","2,500",+2.97%,500,"13,699","15,800",20.86,"173,498",36.22,11.61,
189,TIGER MSCI Korea TR,"15,635",160,+1.03%,0,"13,665","87,400",0.00,425,N/A,N/A,
190,롯데리츠,"5,620",10,+0.18%,500,"13,655","242,969",9.86,"210,825",71.14,1.68,
191,프레스티지바이오파마,"22,600","1,050",+4.87%,0,"13,582","60,096",63.68,"234,502",-159.15,-1.78,
192,TIGER TOP10,"13,445",105,+0.79%,0,"13,506","100,450",0.25,"286,231",N/A,N/A,
193,LG생활건강우,"642,000","6,000",+0.94%,"5,000","13,480","2,100",84.44,"3,473",13.48,N/A,
194,DL,"64,300",700,+1.10%,"5,000","13,475","20,956",12.94,"46,429",2.08,11.84,
195,TIGER 2차전지테마,"24,330",640,+2.70%,0,"13,199","54,250",2.17,"8,639,636",N/A,N/A,
196,녹십자홀딩스,"28,050",550,+2.00%,500,"13,191","47,028",5.38,"76,504",8.65,19.74,
197,롯데관광개발,"19,000",100,-0.52%,500,"13,162","69,276",8.44,"362,407",-8.42,-30.43,
198,코스모신소재,"43,600",400,+0.93%,"1,000","13,118","30,087",6.25,"596,668",69.10,7.16,
199,PI첨단소재,"44,250",750,+1.72%,500,"12,995","29,366",17.14,"115,784",23.80,15.62,
200,솔루엠,"25,950",700,+2.77%,500,"12,976","50,006",8.55,"182,419",48.32,43.26,
